"collection","feature_area","proposed_verdict","doc_count","last_write","writes_90d","writes_365d","operator_screens","screens_read","screens_write","example_screens","data_caveat","engineer_confirms(Y/N)","engineer_owner","engineer_notes"
"participantjourneyproduct","Purchase/commercial","RELIABLE","5137","2026-06-02","261","1216","10","10","3","participantpurchase/:pid | userprofile/:id | userprofile_old | participants-analytics","use subscriptionstart as t0; journeystatus 93%; purchasedate 52%, onboarded 56%, journeyref 8% blank","","",""
"participantsproduct","Purchase/commercial","RELIABLE","38399","2026-06+ (active)","2153","10517","24","22","12","modedashboard | mode-dashboard-new | bookappointment | dynamicstudio","productref/profileid 100%; status 74%; journeyref ~2% (journey link lives in participantjourneyproduct)","","",""
"participant metadata","Purchase/commercial","RELIABLE","3310","2026-06-02","219","660","30","28","7","viewparticipantstieraccess | content-analytics-dashboard | interimreportlog | mode-dashboard-new","denormalized participant profile for dashboards; name/email/customerstatus 94%, participantmode 78%","","",""
"salesleads","Purchase/commercial","RELIABLE","4335","2026-06-02","418","2028","5","5","2","salesleads | onboardingremarks | JourneycoachDashboard-new | overall-dashboard","pre-sale to purchase pipeline","","",""
"profile_data","Identity/access","RELIABLE","3246","2026-06-02","158","677","44","44","5","contentupload | approveofftime | interimreportlog | evolutionwishlistlog","identity fields reliable; currentjourney/currentjourneystatus/currentproductstatus = 100% NULL (dead - do not use)","","",""
"user_data","Identity/access","RELIABLE","2257","config(no-ts)","—","—","3","2","1","contentupload | notificationlog | login","firebase auth uid -> user; no write-timestamp","","",""
"new_user_data","Identity/access","RELIABLE","625","2026-06-01","535","625","3","3","0","customersupportdashboard/ticket/:ticketid/:ticketno | live_event_dashboard | workshop_dashboard/:id","onboarding profiles","","",""
"eisroles","Identity/access","RELIABLE-reference","166","config(no-ts)","—","—","1","1","0","appointmentrole","role-flag definitions; config","","",""
"FCM_token","Identity/access","RELIABLE","8907","2026-06-02","4337","7006","2","2","0","dynamicqueuemanager | overall-dashboard","push tokens","","",""
"appointments","Scheduling/1:1 delivery","RELIABLE","10293","2026-06-02","1364","4226","18","17","5","appointmentcalendar | mycalendar | roster | appointmentstatuspending","real stage timing; starttime can be future (scheduled)","","",""
"availability","Scheduling/1:1 delivery","RELIABLE","20767","2026-06-17","2203","7687","6","6","2","appointmentavailability | bookappointment | capacityutilization | profilelist","specialist slots; forward-dated; confirm if derived/regenerated","","",""
"offtime","Scheduling/1:1 delivery","RELIABLE","125","2026-05-14","1","8","2","2","2","offtime | approveofftime","specialist time-off","","",""
"deliverables","Scheduling/1:1 delivery","RELIABLE","30711","config(no-ts)","—","—","9","9","2","bookappointment | dynamicstudio | dynamicqueuemanager | queue-web","no write-timestamp; status 81%, fileref 91%, profileid 97%","","",""
"participantdeliverysequence","Scheduling/1:1 delivery","RELIABLE","3292","config(no-ts)","—","—","3","3","3","bookappointment | participantdeliverysequence/:pid | journeysupport/:pid","no write-timestamp; profileid/products 100%; confirm not superseded","","",""
"queue stage log","Queue/workflow","RELIABLE","68649","2026-06-02","3843","19082","9","4","6","bigactivitymonitor | queuetransfer | dynamicqueuemanager | engagementdashboard","stage transitions","","",""
"queue_token","Queue/workflow","RELIABLE","7041","2026-05-28","269","766","21","20","10","participantAEL/:id | participantAEL | bigactivitymonitor | eventopportunitydashboard","queue job tokens","","",""
"queue activity log","Queue/workflow","RELIABLE","8283","2026-05-30","300","1720","3","3","1","bigProfile | bigactivitymonitor | bigactivitylog","queue activity","","",""
"big cohorts","BIG operations","RELIABLE","345","2026-05-21","76","162","11","11","1","big-dashboard | bigcohorts | validateParticipantAssignments | arena_space","cohort assignments (NOT the broken aggregate-level rollups)","","",""
"big cohorts log","BIG operations","RELIABLE","6107","2026-05-21","1392","6107","1","1","1","bigcohorts","cohort activity log","","",""
"big assignment","BIG operations","RELIABLE","63","2026-05-19","25","47","8","8","2","big-dashboard | bigchatscreen | particiant_assignment_board | zoommeeting_bigparticipants","participant->big assignment","","",""
"big participants assignments","BIG operations","RELIABLE","484","2026-05-19","63","157","6","5","5","formbasedsubmission | particiant_assignment_board | bigcohorts | manualassignment","assignment tracking","","",""
"biginvitation","BIG operations","RELIABLE","1601","2026-03-19","5","314","2","2","0","bigcohorts | queuebigplanner","big event invitations","","",""
"content analytics","Content/engagement","RELIABLE","278349","2026-06-02","47320","153634","4","4","1","contentanalytics | content-analytics-dashboard | participants-analytics | engagementdashboard","engagement backbone incl SolarVoice; 47k writes/90d; type field distinguishes solarvoice/eiflix","","",""
"participant touchpoint","Content/engagement","RELIABLE","89031","2026-06-02","26707","89031","2","2","0","participanttouchpoint | userprofile/:id","coach-participant interaction log","","",""
"recommended mix playlist","Content/engagement","RELIABLE","9446","2026-05-29","1803","3386","3","3","1","content-analytics-dashboard | recommendedplaylist | participants-analytics","algorithm-generated playlist; confirm if treated as derived","","",""
"episodes","Content/engagement","RELIABLE","502","2026-05-27","101","217","6","6","2","videodashboard | addseries | editseries | recommendedplaylist","video episode catalog","","",""
"solar voice playlist","Content/engagement","RELIABLE","56","2026-04-22","9","23","13","13","3","audiodashboard | playlistdashboard | edit-playlist | add-playlist","SolarVoice playlists","","",""
"solar voice audios","Content/engagement","RELIABLE","49","2026-03-10","1","9","6","6","0","audiodashboard | edit-playlist | add-playlist | recommendedplaylist","SolarVoice audio catalog","","",""
"series","Content/engagement","RELIABLE","53","2026-04-07","6","38","16","16","3","category-dashboard | assigncategory | seriesdashboard | viewparticipantstieraccess","video series","","",""
"evolutionmappingvideo","Content/engagement","RELIABLE","1526","2026-06-01","543","1526","6","6","2","queue-web | userprofile/:id | userprofile_old | evolutionmapping","evolution-mapping videos","","",""
"liveevolutionmapping","Content/engagement","RELIABLE","538","2026-06-01","118","538","6","6","0","queue-web | userprofile/:id | userprofile_old | evolutionmapping","live evolution mapping","","",""
"event collection","Events","RELIABLE","97","2026-08-02","10","29","34","34","0","createarenavideoasktemplate | communitymanager | mode-dashboard-new | participantAEL/:id","event master data; forward-dated","","",""
"event participation request","Events","RELIABLE","14762","2026-06-02","4361","9742","16","15","6","participantAEL/:id | participantAEL | bigcohorts | initiateeventproduct","participation requests","","",""
"arena events","Events","RELIABLE","216","2026-12-03","33","76","9","8","1","queuetransfer | initiateeventproduct | queue-planner-review | queuebigplanner","arena events; forward-dated","","",""
"event zones","Events","RELIABLE","10","2026-04-16","4","10","2","2","1","bigcohorts | eventzonemanagement","event zones","","",""
"notificationrecord","System/audit","RELIABLE","82610","2026-06-02","23521","82526","3","3","0","notificationrecord | dynamicqueuemanager | communication","notification records","","",""
"loginlog","System/audit","DEMOTE-infra","71886","2026-06-02","18436","62474","0","0","0","","ORPHAN: no operator screen uses it (background auth log) - move out of operator trust set","","",""
"journey","Catalog/reference","RELIABLE-reference","48","2026-04-20","44","44","30","30","1","viewparticipantstieraccess | contentanalytics | tieraccessconfig | big-dashboard","journey definitions (48)","","",""
"products","Catalog/reference","RELIABLE-reference","104","config(no-ts)","—","—","39","39","0","viewparticipantstieraccess | tieraccessconfig | mode-dashboard-new | productmodeconfig","product catalog (104) across 5 modes","","",""
"package","Catalog/reference","RELIABLE-reference","49","config(no-ts)","—","—","6","6","0","participantpurchase/:pid | userprofile_old | addpackage | journeysupport/:pid","packages","","",""
"appointmenttype","Catalog/reference","RELIABLE-reference","108","config(no-ts)","—","—","7","7","0","participantdeliverysequence/:pid | profilesummary/:profileid | productdelivery | deliverysequence","stage definitions (108)","","",""
"journey-to-product","Catalog/reference","RELIABLE-reference","41","config(no-ts)","—","—","2","2","0","participantpurchase/:pid | journeyproductmap","journey<->product map","","",""
"productToDeliverySequence","Catalog/reference","RELIABLE-reference","85","config(no-ts)","—","—","7","7","1","queuetransfer | initiateeventproduct | participantpurchase/:pid | productdelivery","product delivery sequence","","",""
"procedures","Catalog/reference","RELIABLE-reference","34","config(no-ts)","—","—","2","2","0","overall_event_dashboard | first_timers_dashboard","procedure definitions","","",""
"delivery events","Catalog/reference","RELIABLE-reference","42","config(no-ts)","—","—","4","4","0","participantdeliverysequence/:pid | productdelivery | deliverysequence | deliveryactivities","delivery event templates","","",""
"delivery forms","Catalog/reference","RELIABLE-reference","84","config(no-ts)","—","—","14","14","0","appactionpending | modedashboard | mode-dashboard-new | productmodeconfig","delivery form templates","","",""
"modes","Catalog/reference","RELIABLE-reference","15","config(no-ts)","—","—","4","4","0","modedashboard | mode-dashboard-new | participants-analytics | JourneycoachDashboard-new","delivery modes","","",""
"tier","Catalog/reference","RELIABLE-reference","13","2025-12-29","0","2","8","8","0","viewparticipantstieraccess | contentanalytics | accessscreen | addseries","content tiers (slowing: 0 writes/90d)","","",""
"classify","Catalog/reference","RELIABLE-reference","36","config(no-ts)","—","—","9","9","4","participanttouchpoint | communitymanager | journeyonboardingdetail | hpc","app config singletons","","",""
"dashboard","Catalog/reference","RELIABLE-reference","23","config(no-ts)","—","—","3","3","2","profile-role-access | EISDashboard | routeconfiguration","route/nav ACL config","","",""
"AppointmentType-To-Roles","Catalog/reference","RELIABLE-reference","102","config(no-ts)","—","—","4","4","0","bookappointment | mapappointmentrole | appointment-dashboard | delivery-dashboard","appttype->roles map","","",""
"Roles-To-EIS","Catalog/reference","RELIABLE-reference","102","config(no-ts)","—","—","5","5","0","bookappointment | eisappointmentrole | profilelist | appointment-dashboard","role->EIS map","","",""
"biglevel","Catalog/reference","RELIABLE-reference","20","config(no-ts)","—","—","9","9","1","viewparticipantstieraccess | tieraccessconfig | big-dashboard | biglevel","BIG LEVEL DEFINITIONS (not the broken level-logs)","","",""
"accelerated evolution level","Catalog/reference","RELIABLE-reference","11","config(no-ts)","—","—","6","6","1","participantAEL/:id | participantAEL | dynamicstudio | createaelnames","AEL definitions","","",""
"bigactivity","Catalog/reference","RELIABLE-reference","33","config(no-ts)","—","—","13","13","0","big-dashboard | bigProfile | bigcohorts | modellevelconfig","big activity definitions","","",""
